GraphSize,EdgeCount,Implementation,Iterations,TotalTime,AvgIterationTime,ComponentCount
1000,9962,RDD,4,1.032,0.25799999999999995,999
1000,9962,DataFrame,1,1.605,1.605,257
5000,49986,RDD,4,0.823,0.20575000000000002,4999
5000,49986,DataFrame,1,3.04,3.04,1261
10000,99964,RDD,4,0.865,0.21600000000000003,9994
10000,99964,DataFrame,1,3.841,3.841,2651
50000,499970,RDD,4,1.68,0.42,49999
50000,499970,DataFrame,1,4.445,4.445,12481
100000,999966,RDD,4,2.4,0.59975,99999
100000,999966,DataFrame,1,15.996,15.996,24589
